,Question,Vendor Response,Notes
API & Protocols,,,
API & Protocols,"API types supported (REST, WebSocket, FIX 4.2/4.4/5.0 SP2, gRPC).","Fuze provides robust APIs designed for seamless integration with third-party systems, including government and financial institution systems. The tech stack includes REST APIs and WebSockets for real-time communication and trading.",
API & Protocols,"For FIX: sessions (initiator/acceptor), compIDs, heartbeat/sequence policies, reset behavior.","Fuze does not support FIX right now, this can be developed if required.",
API & Protocols,"For REST/WebSocket: base URLs, versioning strategy, pagination, idempotency keys.","Fuze’s technology stack leverages REST APIs and WebSockets to enable real-time communication and trading. The platform offers robust, well-structured APIs designed for seamless integration with third-party systems, supported by comprehensive documentation, including detailed integration guides and step-by-step walkthroughs for technical teams.  Fuze also supports pagination for APIs where it is required, ensuring efficient handling of large data sets. In addition, the platform places strong emphasis on idempotency an essential requirement for financial integrations so that operations are not unintentionally duplicated if requests are retried due to network issues or other failures. This is achieved through the use of unique, client-defined identifiers for key resources, helping maintain consistency and data integrity across all transactions.",
API & Protocols,"Supported SDKs/libraries and language coverage (Java/Kotlin, .NET, Node, Python, Go).","We do not recommend an SDK integration for our banking partners, as it introduces a single point of failure. In other words, an issue with the SDK could potentially disrupt the entire app. Instead, we provide and recommend REST APIs and webhooks, which offer banking partners greater control over the integration. In the event of any issues with the APIs, only the connected features are affected, allowing the rest of the banking experience to continue as normal.",
API & Protocols,Rate limits per endpoint and burst behavior; error model and retry/backoff guidance.,"While rate limits and burst limits are enforced, they are set high enough that hitting them should not be a concern.",
API & Protocols,"Async eventing: topics/streams, message schemas, replay, durable subscriptions.","Fuze does implement event-driven architecture with asynchronous eventing capabilities. The platform incorporates an event based PubSub (Publish-Subscribe) mechanism that enables real-time event-driven communication between services. This architecture allows the system to decouple components, ensuring that transactions can be processed independently and in parallel, which helps maintain performance even as transaction volumes increase. The event based architecture is critical in ensuring that consumers don't have to manage message retries and can scale horizontally without the need for ZooKeeper or equivalent tools to manage state. All consumers are stateless with state stored in persistent databases, which supports the asynchronous processing model.",
,,,
Authentication & Authorization,,,
Authentication & Authorization,"Auth methods (OAuth2, mutual TLS, HMAC, API keys, FIX logon).","We support both OAuth-based authentication and API key–based access, giving flexibility depending on your integration needs.",
Authentication & Authorization,Support for OIDC and JWT validation; token lifetimes and refresh flows.,"The platform supports JWT validation, ensuring that all tokens are securely verified for authenticity, integrity, and expiration before requests are processed. Configurable token lifetimes are enforced to balance security and usability, with clear expiration policies in place.  In addition, refresh token flows are supported, allowing clients to obtain new access tokens without re-authenticating, while maintaining strong security controls. This approach enables seamless session continuity and secure access management across integrations.",
Authentication & Authorization,"mTLS requirements (CA chain, cipher suites, SNI).",Fuze secures all traffic via TLS 1.2+ and has the technical capability to implement mutual TLS (mTLS) for specific banking integrations if required,
Authentication & Authorization,Role‑based access control scopes/permissions per endpoint.,"Fuze implements Role-Based Access Control (RBAC) for all APIs, allowing for the definition of granular user-level and API-level Access Control Lists (ACLs) based on functional requirements,. This is enforced via a Zero Trust architecture and Single Sign-On (SSO), ensuring only authorized personnel with specific permissions can access protected endpoints",
Authentication & Authorization,Key/secret rotation processes and auditability; emergency revocation.,"Cryptographic keys are protected by strict lifecycle management, including immediate emergency revocation procedures for departing staff and remote wipe capabilities for compromised devices,. All key access changes are recorded in immutable audit logs retained for 8 years and undergo quarterly internal audits to ensure compliance and effective revocation",
,,,
Networking & Connectivity,,,
Networking & Connectivity,"Public internet vs private connectivity (AWS PrivateLink, VPN, Direct Connect).","The solution is hosted on the AWS Public Cloud (me-central-1) and primarily utilizes HTTPS over the public internet secured by TLS 1.2+ for standard communication,. For internal segmentation and secure remote access, Fuze employs a Zero Trust Network architecture (using TailScale) and software-controlled virtual private networks (Mesh VPN) rather than traditional direct leased lines. Fuze can provide a segreggated tenant on AWS PrivateLink if required.",
Networking & Connectivity,IP whitelisting/CIDR requirements; DNS/SNI expectations.,"Fuze implements strict IP whitelisting to ensure APIs are only called from authorized sources and supports IP blacklist controls via its API interfaces,. Access control is further enforced at the DNS level using a Zero Trust system that validates identity and authorization before granting access to resources",
Networking & Connectivity,Latency targets per region; jitter tolerance and clock synchronization (NTP/PTP).,The system is designed to provide a consistent response time of less than 2 seconds for front-end screens under normal and peak conditions,
Networking & Connectivity,Throughput limits and message size caps; compression support.,"The system is architected to support a maximum throughput of 1000 Transactions Per Second (TPS). To protect upstream resources, the solution implements application-level rate limiting alongside Cloudflare DDoS protection and AWS Web Application Firewall (WAF) rules",
Networking & Connectivity,Failover paths and BGP/route health checks if applicable.," Fuze utilizes a primary/primary failover mechanism with a ""Hot"" recovery site to ensure transparent failover and zero-downtime deployments across geographically separated data centres,. Traffic distribution and health checks are managed via AWS Application Load Balancers (ALB) and Cloudflare, which filter malicious traffic and handle routing resilience",
,,,
Environments & Onboarding,,,
Environments & Onboarding,Availability of sandbox/UAT with production‑like behavior; test data strategy.,"Fuze provides a dedicated sandbox/UAT environment that closely mirrors production behavior, allowing teams to test integrations safely before going live. The sandbox is designed to behave like the production environment in terms of API functionality, workflows, validations, and error handling, so integrations can be tested with confidence.",
Environments & Onboarding,"Certification steps (e.g., FIX certification scripts, order scenarios).",,
Environments & Onboarding,Environment parity and known differences; change promotion workflow.,,
Environments & Onboarding,"Provisioning lead times; what artifacts are required to start (forms, keys, IPs).",,
,,,
Market Data,,,
Market Data,Real‑time vs delayed feeds; tick formats; depth of book; entitlement models.,,
Market Data,"Symbols/instrument master reference; corporate actions; identifiers (ISIN, SEDOL, RIC).",,
Market Data,Snapshot vs streaming APIs; replay windows; sequence guarantees.,,
Market Data,"Usage rights, redistribution rules, display fees; auditing of entitlements.",,
,,,
"Reliability, SLAs & DR",,,
"Reliability, SLAs & DR","Uptime targets, per‑endpoint SLAs, maintenance windows, and change freeze policies.","Fuze commits to a 99.5% monthly uptime, with specific transaction SLAs (e.g., ≤45 mins for stablecoin transfers) and incident response targets ranging from 30 minutes (Critical) to 10 days (Low),,. Planned maintenance is capped at 8 hours per month with 72-hour advance notice, while material API changes require 14 days' notice,. The firm employs a daily release schedule via CI/CD rather than static change freezes, allowing for immediate emergency security updates when necessary",
"Reliability, SLAs & DR","RTO/RPO, multi‑AZ/region architecture, and active‑active vs active‑passive.","The defined recovery objectives are an RTO of 4 hours (with application capability of 1 hour) and an RPO of 15 minutes,,. The infrastructure utilizes a primary/primary (active-active) architecture across multiple AWS availability zones in the UAE (me-central-1, 2, and 3) separated by over 50km,,. A ""Hot"" recovery site is maintained alongside an active read-only BCP region outside the UAE to ensure resilience against total regional failures",
"Reliability, SLAs & DR","Circuit breakers, rate limiting at edge, and back‑pressure handling.","Fuze employs an event-based PubSub architecture with message queues to naturally handle back-pressure and elastic scaling to manage load spikes. Edge protection is enforced via Cloudflare DDoS mitigation and AWS WAF, while application-level rate limiting restricts excessive API requests per user",
"Reliability, SLAs & DR",Chaos testing/failover drills cadence and last drill results.,"We conduct quarterly Business Continuity and Disaster Recovery drills, utilizing stress testing scenarios to validate our ""Hot"" recovery site and primary/primary failover mechanisms,. The most recent drill results (Aug 19, 2025) are documented and confirm our ability to meet the defined 4-hour RTO and 15-minute RPO targets",
,,,
Observability & Ops,,,
